Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,5,46,334,266.54720306396484,6174.0,8016.0,4294967208.0
2018,11,27,18,5,46,338,266.5128707885742,,,
2018,11,27,18,5,46,342,266.510009765625,,,
2018,11,27,18,5,46,346,266.8018341064453,,,
2018,11,27,18,5,46,350,266.9105529785156,,,
2018,11,27,18,5,46,354,266.8619155883789,6311.0,8094.0,4294967247.0
2018,11,27,18,5,46,358,266.9563293457031,,,
2018,11,27,18,5,46,362,267.11082458496094,,,
2018,11,27,18,5,46,366,267.3168182373047,,,
2018,11,27,18,5,46,370,267.0621871948242,,,
2018,11,27,18,5,46,374,267.15946197509766,6252.0,8016.0,4294967149.0
2018,11,27,18,5,46,377,267.2767639160156,,,
2018,11,27,18,5,46,381,267.32540130615234,,,
2018,11,27,18,5,46,385,267.4741744995117,,,
2018,11,27,18,5,46,389,267.6515579223633,,,
2018,11,27,18,5,46,393,267.5800323486328,6330.0,7879.0,0.0
2018,11,27,18,5,46,397,267.52281188964844,,,
2018,11,27,18,5,46,401,267.45128631591797,,,
2018,11,27,18,5,46,405,267.3797607421875,,,
2018,11,27,18,5,46,409,267.608642578125,,,
2018,11,27,18,5,46,413,267.37403869628906,6154.0,7957.0,4294967208.0
2018,11,27,18,5,46,416,267.1995162963867,,,
2018,11,27,18,5,46,420,266.87049865722656,,,
2018,11,27,18,5,46,424,266.83616638183594,,,
2018,11,27,18,5,46,428,266.7245864868164,,,
2018,11,27,18,5,46,432,266.5557861328125,6232.0,7977.0,4294967208.0
2018,11,27,18,5,46,436,265.9463882446289,,,
2018,11,27,18,5,46,440,265.960693359375,,,
2018,11,27,18,5,46,444,265.8061981201172,,,
2018,11,27,18,5,46,448,265.6230926513672,,,
2018,11,27,18,5,46,452,265.4542922973633,6252.0,8036.0,4294967247.0
2018,11,27,18,5,46,456,265.1968002319336,,,
2018,11,27,18,5,46,459,265.11669158935547,,,
2018,11,27,18,5,46,463,264.9679183959961,,,
2018,11,27,18,5,46,467,265.0022506713867,,,
2018,11,27,18,5,46,471,264.9507522583008,6272.0,7977.0,127.0
2018,11,27,18,5,46,475,264.79339599609375,,,
2018,11,27,18,5,46,479,264.6932601928711,,,
2018,11,27,18,5,46,483,264.6331787109375,,,
2018,11,27,18,5,46,487,264.57881927490234,,,
2018,11,27,18,5,46,491,264.5244598388672,6232.0,8016.0,4294967247.0
2018,11,27,18,5,46,495,264.30702209472656,,,
2018,11,27,18,5,46,499,264.1725540161133,,,
2018,11,27,18,5,46,502,264.5759582519531,,,
2018,11,27,18,5,46,506,264.5416259765625,,,
2018,11,27,18,5,46,510,264.48726654052734,6252.0,7996.0,0.0
2018,11,27,18,5,46,514,264.22119140625,,,
2018,11,27,18,5,46,518,264.0094757080078,,,
2018,11,27,18,5,46,522,263.9951705932617,,,
2018,11,27,18,5,46,526,263.9808654785156,,,
2018,11,27,18,5,46,530,263.97228240966797,6213.0,7957.0,4294967149.0
2018,11,27,18,5,46,534,263.90933990478516,,,
2018,11,27,18,5,46,538,263.92364501953125,,,
2018,11,27,18,5,46,541,263.9780044555664,,,
2018,11,27,18,5,46,545,264.129638671875,,,
2018,11,27,18,5,46,549,264.28985595703125,6272.0,8075.0,4294967169.0
2018,11,27,18,5,46,553,264.0266418457031,,,
2018,11,27,18,5,46,557,264.1468048095703,,,
2018,11,27,18,5,46,561,263.9808654785156,,,
2018,11,27,18,5,46,565,263.7662887573242,,,
2018,11,27,18,5,46,569,264.2984390258789,6252.0,7938.0,4294967189.0
2018,11,27,18,5,46,573,264.19544219970703,,,
2018,11,27,18,5,46,577,264.1868591308594,,,
2018,11,27,18,5,46,581,264.0981674194336,,,
2018,11,27,18,5,46,584,264.1153335571289,,,
2018,11,27,18,5,46,588,264.05811309814453,6272.0,7918.0,4294967208.0
2018,11,27,18,5,46,592,263.8406753540039,,,
2018,11,27,18,5,46,596,263.9350891113281,,,
2018,11,27,18,5,46,600,263.78345489501953,,,
2018,11,27,18,5,46,604,263.88072967529297,,,
2018,11,27,18,5,46,608,263.7319564819336,6232.0,7840.0,4294967189.0
2018,11,27,18,5,46,612,263.6089324951172,,,
2018,11,27,18,5,46,616,263.4458541870117,,,
2018,11,27,18,5,46,620,263.52882385253906,,,
2018,11,27,18,5,46,624,263.41724395751953,,,
2018,11,27,18,5,46,627,263.5946273803711,6213.0,7918.0,4294967247.0
2018,11,27,18,5,46,631,263.5488510131836,,,
2018,11,27,18,5,46,635,263.40579986572266,,,
2018,11,27,18,5,46,639,263.27991485595703,,,
2018,11,27,18,5,46,643,263.21983337402344,,,
2018,11,27,18,5,46,647,263.12828063964844,6213.0,7977.0,4294967189.0
2018,11,27,18,5,46,651,263.11397552490234,,,
2018,11,27,18,5,46,655,262.97664642333984,,,
2018,11,27,18,5,46,659,262.77923583984375,,,
2018,11,27,18,5,46,663,262.7735137939453,,,
2018,11,27,18,5,46,666,262.8307342529297,6232.0,8016.0,4294967228.0
2018,11,27,18,5,46,670,262.75634765625,,,
2018,11,27,18,5,46,674,262.7220153808594,,,
2018,11,27,18,5,46,678,262.7592086791992,,,
2018,11,27,18,5,46,682,262.6676559448242,,,
2018,11,27,18,5,46,686,262.77637481689453,6232.0,7977.0,4294967208.0
2018,11,27,18,5,46,690,262.8021240234375,,,
2018,11,27,18,5,46,694,262.6991271972656,,,
2018,11,27,18,5,46,698,262.4931335449219,,,
2018,11,27,18,5,46,702,262.4502182006836,,,
2018,11,27,18,5,46,706,262.41302490234375,6252.0,7977.0,4294967208.0
2018,11,27,18,5,46,709,262.39585876464844,,,
2018,11,27,18,5,46,713,262.35008239746094,,,
2018,11,27,18,5,46,717,262.2814178466797,,,
2018,11,27,18,5,46,721,262.16697692871094,,,
2018,11,27,18,5,46,725,262.12406158447266,6252.0,7957.0,4294967228.0
2018,11,27,18,5,46,729,262.06398010253906,,,
2018,11,27,18,5,46,733,261.98673248291016,,,
2018,11,27,18,5,46,737,262.00103759765625,,,
2018,11,27,18,5,46,741,261.9352340698242,,,
2018,11,27,18,5,46,745,261.9752883911133,6213.0,7996.0,4294967247.0
2018,11,27,18,5,46,749,261.8436813354492,,,
2018,11,27,18,5,46,752,261.5947723388672,,,
2018,11,27,18,5,46,756,261.69776916503906,,,
2018,11,27,18,5,46,760,261.58905029296875,,,
2018,11,27,18,5,46,764,261.52610778808594,6193.0,7996.0,4294967267.0
2018,11,27,18,5,46,768,261.70921325683594,,,
2018,11,27,18,5,46,772,261.61766052246094,,,
2018,11,27,18,5,46,776,261.58905029296875,,,
2018,11,27,18,5,46,780,261.52896881103516,,,
2018,11,27,18,5,46,784,261.5547180175781,6232.0,8036.0,4294967247.0
2018,11,27,18,5,46,788,261.54613494873047,,,
2018,11,27,18,5,46,791,261.566162109375,,,
2018,11,27,18,5,46,795,261.474609375,,,
2018,11,27,18,5,46,799,261.3344192504883,,,
2018,11,27,18,5,46,803,261.5089416503906,6252.0,7977.0,4294967247.0
2018,11,27,18,5,46,807,261.50035858154297,,,
2018,11,27,18,5,46,811,261.4431381225586,,,
2018,11,27,18,5,46,815,261.37447357177734,,,
2018,11,27,18,5,46,819,261.63196563720703,,,
2018,11,27,18,5,46,823,261.81793212890625,6232.0,7938.0,4294967247.0
2018,11,27,18,5,46,827,261.8551254272461,,,
2018,11,27,18,5,46,831,261.8694305419922,,,
2018,11,27,18,5,46,834,261.58905029296875,,,
2018,11,27,18,5,46,838,261.39163970947266,,,
2018,11,27,18,5,46,842,261.5175247192383,6272.0,7996.0,4294967228.0
2018,11,27,18,5,46,846,261.52610778808594,,,
2018,11,27,18,5,46,850,261.5203857421875,,,
2018,11,27,18,5,46,854,261.25144958496094,,,
2018,11,27,18,5,46,858,261.36016845703125,,,
2018,11,27,18,5,46,862,261.35730743408203,6232.0,7918.0,4294967267.0
2018,11,27,18,5,46,866,261.23714447021484,,,
2018,11,27,18,5,46,870,261.3945007324219,,,
2018,11,27,18,5,46,874,261.3401412963867,,,
