Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,24,32,65,-242.36583709716797,,,
2018,11,27,18,24,32,69,-242.22564697265625,,,
2018,11,27,18,24,32,73,-242.0969009399414,,,
2018,11,27,18,24,32,77,-241.84513092041016,6007.0,7761.0,4294964298.0
2018,11,27,18,24,32,81,-241.7621612548828,,,
2018,11,27,18,24,32,85,-241.89090728759766,,,
2018,11,27,18,24,32,88,-241.77074432373047,,,
2018,11,27,18,24,32,92,-241.9281005859375,,,
2018,11,27,18,24,32,96,-241.93096160888672,5850.0,7732.0,4294964278.0
2018,11,27,18,24,32,100,-242.14553833007812,,,
2018,11,27,18,24,32,104,-242.19131469726562,,,
2018,11,27,18,24,32,108,-242.28286743164062,,,
2018,11,27,18,24,32,112,-242.32864379882812,,,
2018,11,27,18,24,32,116,-242.50030517578125,5850.0,7781.0,4294964337.0
2018,11,27,18,24,32,120,-242.86365509033203,,,
2018,11,27,18,24,32,124,-243.072509765625,,,
2018,11,27,18,24,32,128,-243.47305297851562,,,
2018,11,27,18,24,32,131,-244.11392211914062,,,
2018,11,27,18,24,32,135,-244.20547485351562,5811.0,7800.0,4294964298.0
2018,11,27,18,24,32,139,-244.33135986328125,,,
2018,11,27,18,24,32,143,-244.31705474853516,,,
2018,11,27,18,24,32,147,-244.49729919433594,,,
2018,11,27,18,24,32,151,-244.53449249267578,,,
2018,11,27,18,24,32,155,-244.44866180419922,5831.0,7859.0,4294964258.0
2018,11,27,18,24,32,159,-244.2770004272461,,,
2018,11,27,18,24,32,163,-244.2455291748047,,,
2018,11,27,18,24,32,167,-244.15111541748047,,,
2018,11,27,18,24,32,170,-244.07672882080078,,,
2018,11,27,18,24,32,174,-243.8507080078125,5811.0,7781.0,4294964376.0
2018,11,27,18,24,32,178,-243.8335418701172,,,
2018,11,27,18,24,32,182,-243.83926391601562,,,
2018,11,27,18,24,32,186,-243.70479583740234,,,
2018,11,27,18,24,32,190,-243.61324310302734,,,
2018,11,27,18,24,32,194,-243.12973022460938,5791.0,7879.0,4294964317.0
2018,11,27,18,24,32,198,-243.24703216552734,,,
2018,11,27,18,24,32,202,-243.20697784423828,,,
2018,11,27,18,24,32,206,-243.25847625732422,,,
2018,11,27,18,24,32,210,-243.15834045410156,,,
2018,11,27,18,24,32,213,-243.1955337524414,5752.0,7712.0,4294964376.0
2018,11,27,18,24,32,217,-243.14117431640625,,,
2018,11,27,18,24,32,221,-243.11542510986328,,,
2018,11,27,18,24,32,225,-243.1497573852539,,,
2018,11,27,18,24,32,229,-243.06678771972656,,,
2018,11,27,18,24,32,233,-243.00384521484375,5664.0,7820.0,4294964317.0
2018,11,27,18,24,32,237,-243.1039810180664,,,
2018,11,27,18,24,32,241,-242.99240112304688,,,
2018,11,27,18,24,32,245,-243.07537078857422,,,
2018,11,27,18,24,32,249,-243.06964874267578,,,
2018,11,27,18,24,32,253,-243.06392669677734,5791.0,7898.0,4294964337.0
2018,11,27,18,24,32,256,-243.05248260498047,,,
2018,11,27,18,24,32,260,-243.1325912475586,,,
2018,11,27,18,24,32,264,-242.98381805419922,,,
2018,11,27,18,24,32,268,-243.03531646728516,,,
2018,11,27,18,24,32,272,-243.1468963623047,5791.0,7977.0,4294964337.0
2018,11,27,18,24,32,276,-243.1039810180664,,,
2018,11,27,18,24,32,280,-243.05248260498047,,,
2018,11,27,18,24,32,284,-243.00384521484375,,,
2018,11,27,18,24,32,288,-243.1354522705078,,,
